*** NEC ADMITTANCE FILE
 Fan antenna impedance.  Symbols a 1 Mhz increments                                                                    
            F (MHz)        ZR          ZI
     315  3.09952E+00 9.62004E-05 7.59995E-03
     316  3.10302E+00 9.68837E-05 7.61942E-03
     317  3.10652E+00 9.75725E-05 7.63897E-03
     318  3.11002E+00 9.82655E-05 7.65858E-03
     319  3.11353E+00 9.89639E-05 7.67828E-03
     320  3.11703E+00 9.96676E-05 7.69804E-03
     321  3.12053E+00 1.00376E-04 7.71788E-03
     322  3.12403E+00 1.01090E-04 7.73780E-03
     323  3.12753E+00 1.01809E-04 7.75779E-03
     324  3.13103E+00 1.02534E-04 7.77786E-03
     325  3.13454E+00 1.03263E-04 7.79800E-03
     326  3.13804E+00 1.03998E-04 7.81823E-03
     327  3.14154E+00 1.04739E-04 7.83852E-03
     328  3.14504E+00 1.05485E-04 7.85890E-03
     329  3.14854E+00 1.06236E-04 7.87936E-03
     330  3.15204E+00 1.06993E-04 7.89990E-03
     331  3.15555E+00 1.07756E-04 7.92051E-03
     332  3.15905E+00 1.08523E-04 7.94121E-03
     333  3.16255E+00 1.09298E-04 7.96199E-03
     334  3.16605E+00 1.10077E-04 7.98284E-03
     335  3.16955E+00 1.10863E-04 8.00379E-03
     336  3.17305E+00 1.11654E-04 8.02481E-03
     337  3.17656E+00 1.12451E-04 8.04592E-03
     338  3.18006E+00 1.13255E-04 8.06711E-03
     339  3.18356E+00 1.14064E-04 8.08838E-03
     340  3.18706E+00 1.14878E-04 8.10974E-03
     341  3.19056E+00 1.15699E-04 8.13118E-03
     342  3.19406E+00 1.16527E-04 8.15271E-03
     343  3.19757E+00 1.17361E-04 8.17433E-03
     344  3.20107E+00 1.18201E-04 8.19603E-03
     345  3.20457E+00 1.19046E-04 8.21783E-03
     346  3.20807E+00 1.19899E-04 8.23971E-03
     347  3.21157E+00 1.20758E-04 8.26168E-03
     348  3.21507E+00 1.21623E-04 8.28374E-03
     349  3.21858E+00 1.22495E-04 8.30588E-03
     350  3.22208E+00 1.23373E-04 8.32812E-03
     351  3.22558E+00 1.24259E-04 8.35045E-03
     352  3.22908E+00 1.25150E-04 8.37287E-03
     353  3.23258E+00 1.26048E-04 8.39539E-03
     354  3.23608E+00 1.26953E-04 8.41800E-03
     355  3.23959E+00 1.27867E-04 8.44071E-03
     356  3.24309E+00 1.28786E-04 8.46350E-03
     357  3.24659E+00 1.29711E-04 8.48639E-03
     358  3.25009E+00 1.30645E-04 8.50938E-03
     359  3.25359E+00 1.31585E-04 8.53247E-03
     360  3.25709E+00 1.32532E-04 8.55565E-03
     361  3.26060E+00 1.33487E-04 8.57893E-03
     362  3.26410E+00 1.34449E-04 8.60231E-03
     363  3.26760E+00 1.35418E-04 8.62579E-03
     364  3.27110E+00 1.36394E-04 8.64937E-03
     365  3.27460E+00 1.37378E-04 8.67304E-03
     366  3.27810E+00 1.38371E-04 8.69683E-03
     367  3.28161E+00 1.39370E-04 8.72071E-03
