    0    0    2  ! Symmetry, free space/id. ground, freq. variant
    243 0.243000E+02   2700  ! no. freq, freq. value, number of unknowns
    244 0.244000E+02   2700  ! no. freq, freq. value, number of unknowns
    245 0.245000E+02   2700  ! no. freq, freq. value, number of unknowns
    246 0.246000E+02   2700  ! no. freq, freq. value, number of unknowns
    247 0.247000E+02   2700  ! no. freq, freq. value, number of unknowns
    248 0.248000E+02   2700  ! no. freq, freq. value, number of unknowns
    249 0.249000E+02   2700  ! no. freq, freq. value, number of unknowns
    250 0.250000E+02   2700  ! no. freq, freq. value, number of unknowns
    251 0.251000E+02   2700  ! no. freq, freq. value, number of unknowns
    252 0.252000E+02   2700  ! no. freq, freq. value, number of unknowns
    253 0.253000E+02   2700  ! no. freq, freq. value, number of unknowns
    254 0.254000E+02   2700  ! no. freq, freq. value, number of unknowns
    255 0.255000E+02   2700  ! no. freq, freq. value, number of unknowns
    256 0.256000E+02   2700  ! no. freq, freq. value, number of unknowns
    257 0.257000E+02   2700  ! no. freq, freq. value, number of unknowns
    258 0.258000E+02   2700  ! no. freq, freq. value, number of unknowns
    259 0.259000E+02   2700  ! no. freq, freq. value, number of unknowns
    260 0.260000E+02   2700  ! no. freq, freq. value, number of unknowns
    261 0.261000E+02   2700  ! no. freq, freq. value, number of unknowns
    262 0.262000E+02   2700  ! no. freq, freq. value, number of unknowns
    263 0.263000E+02   2700  ! no. freq, freq. value, number of unknowns
    264 0.264000E+02   2700  ! no. freq, freq. value, number of unknowns
    265 0.265000E+02   2700  ! no. freq, freq. value, number of unknowns
    266 0.266000E+02   2700  ! no. freq, freq. value, number of unknowns
    267 0.267000E+02   2700  ! no. freq, freq. value, number of unknowns
    268 0.268000E+02   2700  ! no. freq, freq. value, number of unknowns
    269 0.269000E+02   2700  ! no. freq, freq. value, number of unknowns
    270 0.270000E+02   2700  ! no. freq, freq. value, number of unknowns
    271 0.271000E+02   2700  ! no. freq, freq. value, number of unknowns
    272 0.272000E+02   2700  ! no. freq, freq. value, number of unknowns
    273 0.273000E+02   2700  ! no. freq, freq. value, number of unknowns
    274 0.274000E+02   2700  ! no. freq, freq. value, number of unknowns
    275 0.275000E+02   2700  ! no. freq, freq. value, number of unknowns
    276 0.276000E+02   2700  ! no. freq, freq. value, number of unknowns
    277 0.277000E+02   2700  ! no. freq, freq. value, number of unknowns
    278 0.278000E+02   2700  ! no. freq, freq. value, number of unknowns
    279 0.279000E+02   2700  ! no. freq, freq. value, number of unknowns
    280 0.280000E+02   2700  ! no. freq, freq. value, number of unknowns
    281 0.281000E+02   2700  ! no. freq, freq. value, number of unknowns
    282 0.282000E+02   2700  ! no. freq, freq. value, number of unknowns
    283 0.283000E+02   2700  ! no. freq, freq. value, number of unknowns
    284 0.284000E+02   2700  ! no. freq, freq. value, number of unknowns
    285 0.285000E+02   2700  ! no. freq, freq. value, number of unknowns
    286 0.286000E+02   2700  ! no. freq, freq. value, number of unknowns
    287 0.287000E+02   2700  ! no. freq, freq. value, number of unknowns
    288 0.288000E+02   2700  ! no. freq, freq. value, number of unknowns
    289 0.289000E+02   2700  ! no. freq, freq. value, number of unknowns
    290 0.290000E+02   2700  ! no. freq, freq. value, number of unknowns
    291 0.291000E+02   2700  ! no. freq, freq. value, number of unknowns
    292 0.292000E+02   2700  ! no. freq, freq. value, number of unknowns
    293 0.293000E+02   2700  ! no. freq, freq. value, number of unknowns
    294 0.294000E+02   2700  ! no. freq, freq. value, number of unknowns
    295 0.295000E+02   2700  ! no. freq, freq. value, number of unknowns
    296 0.296000E+02   2700  ! no. freq, freq. value, number of unknowns
    297 0.297000E+02   2700  ! no. freq, freq. value, number of unknowns
    298 0.298000E+02   2700  ! no. freq, freq. value, number of unknowns
    299 0.299000E+02   2700  ! no. freq, freq. value, number of unknowns
    300 0.300000E+02   2700  ! no. freq, freq. value, number of unknowns
    301 0.301000E+02   2700  ! no. freq, freq. value, number of unknowns
    302 0.302000E+02   2700  ! no. freq, freq. value, number of unknowns
    303 0.303000E+02   2700  ! no. freq, freq. value, number of unknowns
    304 0.304000E+02   2700  ! no. freq, freq. value, number of unknowns
    305 0.305000E+02   2700  ! no. freq, freq. value, number of unknowns
    306 0.306000E+02   2700  ! no. freq, freq. value, number of unknowns
    307 0.307000E+02   2700  ! no. freq, freq. value, number of unknowns
    308 0.308000E+02   2700  ! no. freq, freq. value, number of unknowns
    309 0.309000E+02   2700  ! no. freq, freq. value, number of unknowns
    310 0.310000E+02   2700  ! no. freq, freq. value, number of unknowns
    311 0.311000E+02   2700  ! no. freq, freq. value, number of unknowns
    312 0.312000E+02   2700  ! no. freq, freq. value, number of unknowns
    313 0.313000E+02   2700  ! no. freq, freq. value, number of unknowns
    314 0.314000E+02   2700  ! no. freq, freq. value, number of unknowns
    315 0.315000E+02   2700  ! no. freq, freq. value, number of unknowns
    316 0.316000E+02   2700  ! no. freq, freq. value, number of unknowns
    317 0.317000E+02   2700  ! no. freq, freq. value, number of unknowns
    318 0.318000E+02   2700  ! no. freq, freq. value, number of unknowns
    319 0.319000E+02   2700  ! no. freq, freq. value, number of unknowns
    320 0.320000E+02   2700  ! no. freq, freq. value, number of unknowns
    321 0.321000E+02   2700  ! no. freq, freq. value, number of unknowns
    322 0.322000E+02   2700  ! no. freq, freq. value, number of unknowns
    323 0.323000E+02   2700  ! no. freq, freq. value, number of unknowns
    324 0.324000E+02   2700  ! no. freq, freq. value, number of unknowns
    325 0.325000E+02   2700  ! no. freq, freq. value, number of unknowns
    326 0.326000E+02   2700  ! no. freq, freq. value, number of unknowns
    327 0.327000E+02   2700  ! no. freq, freq. value, number of unknowns
    328 0.328000E+02   2700  ! no. freq, freq. value, number of unknowns
    329 0.329000E+02   2700  ! no. freq, freq. value, number of unknowns
    330 0.330000E+02   2700  ! no. freq, freq. value, number of unknowns
    331 0.331000E+02   2700  ! no. freq, freq. value, number of unknowns
    332 0.332000E+02   2700  ! no. freq, freq. value, number of unknowns
    333 0.333000E+02   2700  ! no. freq, freq. value, number of unknowns
    334 0.334000E+02   2700  ! no. freq, freq. value, number of unknowns
    335 0.335000E+02   2700  ! no. freq, freq. value, number of unknowns
    336 0.336000E+02   2700  ! no. freq, freq. value, number of unknowns
    337 0.337000E+02   2700  ! no. freq, freq. value, number of unknowns
    338 0.338000E+02   2700  ! no. freq, freq. value, number of unknowns
    339 0.339000E+02   2700  ! no. freq, freq. value, number of unknowns
    340 0.340000E+02   2700  ! no. freq, freq. value, number of unknowns
   12    ! solver
   0      ! back end porcs/pporcs
   0   0   0   0   1   0   0  ! points
