# co_eff.asc
# Efficiency: eta = P_rad / P_in
# Frequency               P_in                    P_rad                   eta
  0.191000000000000E+002  0.000000000000000E+000  0.114880730070034E-003                     INF
  0.192000000000000E+002  0.000000000000000E+000  0.113930521998351E-003                     INF
  0.193000000000000E+002  0.000000000000000E+000  0.113430935894435E-003                     INF
  0.194000000000000E+002  0.000000000000000E+000  0.113282327756423E-003                     INF
  0.195000000000000E+002  0.000000000000000E+000  0.113397501756030E-003                     INF
  0.196000000000000E+002  0.000000000000000E+000  0.113708473573361E-003                     INF
  0.197000000000000E+002  0.000000000000000E+000  0.114158503859663E-003                     INF
  0.198000000000000E+002  0.000000000000000E+000  0.114704927026511E-003                     INF
  0.199000000000000E+002  0.000000000000000E+000  0.115313587681800E-003                     INF
  0.200000000000000E+002  0.000000000000000E+000  0.115961513544399E-003                     INF
  0.201000000000000E+002  0.000000000000000E+000  0.116630059362138E-003                     INF
  0.202000000000000E+002  0.000000000000000E+000  0.117306553870048E-003                     INF
  0.203000000000000E+002  0.000000000000000E+000  0.117985002440185E-003                     INF
  0.204000000000000E+002  0.000000000000000E+000  0.118662641677069E-003                     INF
  0.205000000000000E+002  0.000000000000000E+000  0.119338241849165E-003                     INF
  0.206000000000000E+002  0.000000000000000E+000  0.120016193529249E-003                     INF
  0.207000000000000E+002  0.000000000000000E+000  0.120700040517268E-003                     INF
  0.208000000000000E+002  0.000000000000000E+000  0.121394119539233E-003                     INF
  0.209000000000000E+002  0.000000000000000E+000  0.122104067181185E-003                     INF
  0.210000000000000E+002  0.000000000000000E+000  0.122836303436346E-003                     INF
  0.211000000000000E+002  0.000000000000000E+000  0.123597990818111E-003                     INF
  0.212000000000000E+002  0.000000000000000E+000  0.124398757690430E-003                     INF
  0.213000000000000E+002  0.000000000000000E+000  0.125247372996000E-003                     INF
  0.214000000000000E+002  0.000000000000000E+000  0.126156235549275E-003                     INF
  0.215000000000000E+002  0.000000000000000E+000  0.127138732348465E-003                     INF
  0.216000000000000E+002  0.000000000000000E+000  0.128212014753857E-003                     INF
  0.217000000000000E+002  0.000000000000000E+000  0.129397130694255E-003                     INF
  0.218000000000000E+002  0.000000000000000E+000  0.130722684001229E-003                     INF
  0.219000000000000E+002  0.000000000000000E+000  0.132226739265290E-003                     INF
  0.220000000000000E+002  0.000000000000000E+000  0.133965131102121E-003                     INF
  0.221000000000000E+002  0.000000000000000E+000  0.136023498066944E-003                     INF
  0.222000000000000E+002  0.000000000000000E+000  0.138538277613238E-003                     INF
  0.223000000000000E+002  0.000000000000000E+000  0.141747722518320E-003                     INF
  0.224000000000000E+002  0.000000000000000E+000  0.146101253589470E-003                     INF
  0.225000000000000E+002  0.000000000000000E+000  0.152550779885886E-003                     INF
  0.226000000000000E+002  0.000000000000000E+000  0.163432722554569E-003                     INF
  0.227000000000000E+002  0.000000000000000E+000  0.185632903212306E-003                     INF
  0.228000000000000E+002  0.000000000000000E+000  0.235896955650625E-003                     INF
  0.229000000000000E+002  0.000000000000000E+000  0.198860774736893E-003                     INF
